0.036753 0.000068 0.000048 
0.037954 0.000007 0.000026 
0.038874 0.000271 0.000002 
0.037588 0.000224 0.000037 
0.036246 0.000547 0.000114 
0.037148 0.000988 0.000017 
0.038193 0.000892 0.000028 
0.036139 0.002013 0.000159 
0.034762 0.001934 0.000422 
0.035739 0.001507 0.000146 
0.035487 0.003051 0.000418 
0.033986 0.002622 0.000589 
0.032409 0.003252 0.001080 
0.032810 0.004024 0.000769 
0.033515 0.003827 0.000889 
0.030858 0.005011 0.001414 
0.029342 0.004772 0.001856 
0.029970 0.003859 0.001097 
0.028950 0.005371 0.001750 
0.027379 0.004466 0.001893 
0.025776 0.004731 0.002279 
0.025747 0.005185 0.001724 
0.025915 0.004662 0.001623 
0.023435 0.005201 0.002030 
0.021950 0.004784 0.002125 
0.022269 0.003699 0.001216 
0.021036 0.004555 0.001648 
0.019553 0.003526 0.001616 
0.018117 0.003518 0.001760 
0.017885 0.003601 0.001262 
0.017793 0.003110 0.001121 
0.015776 0.003291 0.001350 
0.014567 0.002954 0.001409 
0.014576 0.002187 0.000863 
0.013688 0.002711 0.001112 
0.012489 0.002006 0.001077 
0.011370 0.002180 0.001258 
0.011165 0.002124 0.000997 
0.011101 0.001962 0.000936 
0.009611 0.002101 0.000989 
0.008788 0.001884 0.001098 
0.008708 0.001496 0.000724 
0.008171 0.001914 0.000859 
0.007424 0.001432 0.000796 
0.006698 0.001591 0.000910 
0.006555 0.001623 0.000800 
0.006650 0.001641 0.000782 
0.005707 0.001641 0.000699 
0.005161 0.001515 0.000817 
0.005130 0.001235 0.000567 
0.004968 0.001454 0.000767 
0.004517 0.001173 0.000577 
0.004056 0.001255 0.000784 
0.004020 0.001277 0.000662 
0.004268 0.001339 0.000710 
0.003607 0.001239 0.000667 
0.003353 0.001138 0.000669 
0.003380 0.000901 0.000499 
0.003323 0.001153 0.000549 
0.003203 0.000870 0.000480 
0.002894 0.000929 0.000723 
0.002880 0.000947 0.000622 
0.003225 0.001003 0.000634 
0.002809 0.000947 0.000498 
0.002660 0.000794 0.000567 
0.002686 0.000670 0.000432 
0.002719 0.000890 0.000484 
0.002762 0.000718 0.000413 
0.002481 0.000776 0.000649 
0.002475 0.000762 0.000561 
0.002761 0.000795 0.000519 
0.002530 0.000808 0.000416 
0.002398 0.000682 0.000517 
0.002379 0.000588 0.000419 
0.002468 0.000710 0.000499 
0.002482 0.000653 0.000402 
0.002262 0.000723 0.000609 
0.002241 0.000774 0.000472 
0.002318 0.000623 0.000516 
0.002301 0.000699 0.000487 
0.002144 0.000584 0.000528 
0.002095 0.000519 0.000436 
0.002181 0.000615 0.000412 
0.002243 0.000649 0.000472 
0.001982 0.000644 0.000496 
0.001902 0.000635 0.000540 
0.001878 0.000525 0.000636 
0.001996 0.000573 0.000569 
0.001904 0.000497 0.000379 
0.001761 0.000502 0.000490 
0.001809 0.000609 0.000413 
0.001898 0.000612 0.000541 
0.001655 0.000631 0.000479 
0.001574 0.000488 0.000556 
0.001536 0.000524 0.000700 
0.001653 0.000505 0.000600 
0.001551 0.000479 0.000432 
0.001411 0.000442 0.000526 
0.001398 0.000547 0.000460 
0.001510 0.000513 0.000436 
0.001360 0.000550 0.000395 
0.001289 0.000438 0.000418 
0.001246 0.000458 0.000639 
0.001385 0.000442 0.000656 
0.001277 0.000437 0.000480 
0.001193 0.000456 0.000587 
0.001156 0.000499 0.000760 
0.001362 0.000598 0.000744 
0.001159 0.000615 0.000441 
0.001139 0.000480 0.000608 
0.001075 0.000523 0.001023 
0.001225 0.000467 0.000671 
0.001139 0.000415 0.000505 
0.001088 0.000446 0.000687 
0.001022 0.000408 0.000900 
0.001222 0.000542 0.000696 
0.001076 0.000503 0.000510 
0.001024 0.000425 0.000655 
0.000971 0.000504 0.000811 
0.001068 0.000429 0.000508 
0.001077 0.000418 0.000471 
0.001017 0.000408 0.000529 
0.000938 0.000382 0.000632 
0.001023 0.000418 0.000545 
0.000977 0.000476 0.000452 
0.000942 0.000393 0.000684 
0.000899 0.000373 0.000734 
0.000994 0.000443 0.000402 
0.001060 0.000510 0.000900 
